"","T1_Age","T1_Gender","T1_Ethnicity","T1_Education","T1_PolParty","ID","T6_ActPast_Prevent_Self","T6_ActPast_Prevent_Mask","T6_ActPast_Prevent_Sanitize","T6_ActPast_SocialDistance","T6_ActPast_SelfIsolate","T6_ActPresent_Prevent_Self","T6_ActPresent_Prevent_Mask","T6_ActPresent_Prevent_Sanitize","T6_ActPresent_SocialDistance","T6_ActPresent_SelfIsolate","T6_BFI_2_XS_extravert1","T6_BFI_2_XS_agreeable1","T6_BFI_2_XS_conscientious1","T6_BFI_2_XS_neurotic1","T6_BFI_2_XS_open1","T6_BFI_2_XS_extravert2","T6_BFI_2_XS_agreeable2","T6_BFI_2_XS_conscientious2","T6_BFI_2_XS_neurotic2","T6_BFI_2_XS_open2","T6_BFI_2_XS_extravert3","T6_BFI_2_XS_agreeable3","T6_BFI_2_XS_conscientious3","T6_BFI_2_XS_neurotic3","T6_BFI_2_XS_open3"
"81",21,2,2,4,1,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82",28,2,4,5,2,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83",74,1,2,6,2,83,4,4,4,4,4,4,4,4,4,4,0,4,2,1,4,2,0,2,0,3,2,3,3,3,2
"84",39,1,5,6,1,84,4,4,1,4,0,4,4,1,4,1,4,3,3,4,2,0,1,4,4,0,0,0,3,0,3
"85",39,2,2,7,2,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86",38,1,2,6,1,86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87",33,1,2,7,3,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88",43,2,2,5,1,88,3,3,2,2,2,4,3,3,2,1,1,3,3,3,1,1,1,3,2,3,3,2,2,1,1
"89",51,2,2,6,2,89,4,4,2,4,2,4,4,2,4,0,2,3,1,2,3,2,1,1,1,1,2,2,3,3,3
"90",32,1,2,7,2,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91",46,1,2,6,1,91,2,2,0,3,3,1,2,0,3,2,3,3,3,1,1,2,0,2,2,3,1,3,3,3,1
"92",32,2,6,7,1,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93",21,1,2,5,1,93,3,4,1,2,3,1,3,3,1,3,1,2,1,3,1,1,2,2,1,2,3,3,1,3,0
"94",54,1,2,7,4,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95",44,1,2,6,1,95,3,2,0,3,2,3,4,1,4,1,1,1,1,2,3,0,1,1,0,0,3,1,3,2,3
"96",48,2,2,6,2,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97",30,1,2,7,1,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98",65,2,2,6,2,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99",69,1,2,6,1,99,3,1,3,4,4,3,3,3,4,4,4,4,1,4,3,0,1,3,4,4,0,2,3,0,1
"100",33,1,4,5,2,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101",57,2,2,5,1,101,3,4,3,4,2,4,4,4,4,3,4,4,3,2,3,0,0,2,0,0,2,4,3,3,3
"102",36,1,2,6,2,102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103",42,2,2,7,2,103,4,4,2,3,0,4,4,3,4,1,1,4,4,3,4,0,0,4,3,1,0,3,1,1,3
"104",52,2,2,6,4,104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105",39,2,2,6,1,105,4,3,2,3,0,4,3,2,3,0,3,3,0,1,3,2,0,1,1,0,2,3,3,4,2
"106",36,1,2,4,2,106,4,4,2,4,1,4,4,4,4,2,3,3,0,1,2,2,0,0,0,0,2,3,4,3,2
"107",48,2,2,6,1,107,3,3,1,4,0,3,3,1,4,0,4,1,0,1,1,0,0,0,0,4,1,1,3,4,1
"108",42,1,2,5,2,108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109",24,1,2,6,2,109,4,4,4,4,4,4,4,4,4,4,4,4,0,0,3,2,0,0,0,0,3,3,4,4,3
"110",33,1,2,6,1,110,3,3,4,3,2,3,2,3,2,2,3,0,0,0,0,3,0,0,0,0,2,0,4,4,2
"111",44,2,2,6,1,111,3,4,0,3,0,3,4,1,3,1,3,2,0,1,4,4,0,0,0,3,1,2,4,4,1
"112",44,2,7,6,1,112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113",72,1,2,7,1,113,3,4,2,4,2,4,4,3,4,2,4,3,0,2,0,4,0,0,3,3,2,3,4,3,2
"114",29,1,5,6,2,114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115",36,1,2,6,2,115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116",40,2,2,5,2,116,4,4,4,4,2,4,4,4,4,3,2,4,3,2,3,4,2,3,0,0,1,2,2,2,4
"117",64,1,2,4,2,117,4,4,4,4,0,4,4,4,4,0,4,4,0,0,1,3,2,0,0,3,3,3,4,3,2
"118",29,2,4,6,1,118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119",50,2,2,3,1,119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120",24,1,2,6,1,120,3,3,2,3,0,3,3,1,3,0,1,2,1,1,1,3,3,1,2,4,4,1,4,2,3
"121",61,1,2,7,1,121,3,3,3,3,2,3,3,3,3,3,2,4,0,0,2,2,0,0,0,1,1,3,4,4,3
"122",61,1,2,6,3,122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123",27,2,2,6,2,123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124",24,2,2,6,1,124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125",36,1,2,6,2,125,4,3,2,3,3,4,4,2,4,2,3,3,1,1,3,1,2,1,1,1,2,1,3,3,3
"126",34,1,2,7,1,126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
